to,from,weight
ASV106,ASV44,3.281883067
ASV1519,ASV1685,1
ASV81,ASV1332,0.92050967
ASV506,ASV117,0.72547625
ASV481,f5e86a9841f8fb6613b42e1df9d229fa,0.119798053
ASV1494,ASV74,4.845713934
ASV1082,349a635ea622db56824934499ab10052,1
349a635ea622db56824934499ab10052,ASV44,0.014269467
ASV243,ASV23,0.664484032
ASV1217,ASV1096,1
ASV109,ASV926,0.607988327
ASV1125,ASV12,0.668241477
ASV109,ASV1108,0.734048464
ASV1249,ASV1732,1
ASV1094,ASV420,3.193224293
1ded7b3ea35d5ee270110b832d3dc84c,ASV111,0.048207361
ASV481,ASV926,1.11E-16
ASV1919,ASV570,1
ASV1081,ASV947,0.004595839
ASV577,ASV1108,4.534757812
ASV294,ASV44,1
ASV995,ASV570,1
ASV109,ASV481,0.607988327
ASV323,ASV1207,3.067474371
ASV576,ASV570,4.08E-06
ASV44,ASV1299,1
ASV159,ASV117,0.861474682
ASV1518,ASV1037,0.979878613
ASV1685,ASV1520,0.004072194
ASV109,f5e86a9841f8fb6613b42e1df9d229fa,0.734048464
ASV100,ASV1232,0.546963434
ASV526,ASV576,0.72547625
1ded7b3ea35d5ee270110b832d3dc84c,ASV104,1.836226404
ASV1217,ASV1082,1
ASV1217,ASV1081,1
ASV774,ASV294,1
ASV526,ASV570,0.998476885
ASV133,ASV1278,3.58483157
ASV231,ASV859,1
ASV106,ASV23,3.233496805
ASV1253,ASV87,0.604993259
fa19522f4a04124c8aeb8b8247645879,ASV178,0.107362267
784833580054b0b8670ff0d1642746ee,ASV231,1
ASV1081,ASV133,4.227672754
ASV74,ASV1882,3.086868571
ASV1401,878a35347f3e227d5ca7683772399708,1
ASV242,ASV420,0.715096988
ASV133,ASV860,0.56205918
ASV1685,ASV916,1
ASV9,ASV1278,4.896360997
ASV17,ASV133,0.640050817
399fdcf9abac0d03b00f63e93edfd481,cd6b7936ba4c5252ce3773d276e695ac,0.607988327
f829f7dd05af5b9ae70b3cb07c41bb7a,784833580054b0b8670ff0d1642746ee,0.015329788
878a35347f3e227d5ca7683772399708,ASV859,1
54dd4aa26421356fd278e399d2603a0b,ASV794,0.989704989
ASV1108,ASV33,4.646450582
ASV294,ASV23,4.094671555
399fdcf9abac0d03b00f63e93edfd481,da95059d70300111c7e409ff878cd4b2,0.299893506
ASV1518,ASV117,1
ASV957,ASV1215,0.72547625
ASV1253,ASV8,0.584071449
ASV916,ASV55,0.872114247
ASV1207,ASV33,4.846966684
ASV77,951da216cb3423c01f473555ea9e8128,0.3115234
ASV957,ASV1570,1
ASV576,ASV1319,1
ASV104,ASV275,0.623642637
ASV444,ASV231,2.220377423
ASV106,ASV100,0.550641157
ASV1732,ASV1919,1
ASV328,2d3181c6a21fd8774c7e24773f5d5e05,0.986294251
399fdcf9abac0d03b00f63e93edfd481,ASV444,0.299893506
ASV1207,ASV8,0.584071449
ASV1096,ASV947,1
ASV1520,ASV273,3.596522242
ASV328,ASV394,0.967057059
ASV1028,ASV1056,1
ASV195,ASV12,0.445039099
ASV117,ASV393,1.338491886
ASV1704,ASV1428,1
ASV1518,ASV1809,0.001630179
ASV1922,ASV55,0.423960718
ASV831,ASV294,1
ASV119,ASV294,4.500021492
ASV1462,ASV1096,1
ASV1732,ASV30,1.30E-04
869675838f1756f60370351cfa029b05,d9f8ab9eab576c318fe0b1eb43da07ed,0.005197106
ASV117,ASV1057,1
ASV243,ASV571,0.931856562
ASV17,ASV23,0.664654966
ASV1249,ASV344,0.811652405
c931b5b3c970964334341007cd402e96,ASV33,5.054267613
ASV773,ASV1299,1
ASV444,ASV1299,5.110562283
ASV119,ASV288,0.582488532
ASV506,ASV1518,0.998128533
ASV1579,ASV1094,1
b0c765a76a3bd24405f68a14ece65115,ASV142,0.632180575
f829f7dd05af5b9ae70b3cb07c41bb7a,ASV178,1
ASV1319,ASV995,0.002064996
ASV111,ASV1570,0.194387875
ASV227,ASV394,2.368713498
ASV119,ASV30,0.860467575
ASV133,ASV839,0.607988327
ASV1081,ASV106,3.281883067
ASV1494,ASV23,5.054560759
ASV308,da95059d70300111c7e409ff878cd4b2,0.649110329
ASV1401,ASV859,1
ASV1081,ASV100,0.732724923
ASV860,ASV571,0.72547625
ASV1732,ASV995,1
ASV1922,ASV273,0.804579226
d8afc147579e4912e2ee4c975e9374d2,ASV45,3.388989711
ASV344,ASV393,2.061117518
ccbef4f7fdf76aab7fed38193f0dbbb4,ASV1882,1
ASV1207,ASV273,0.533245148
ASV119,ASV27,0.522903544
ASV1922,ASV31,0.995571006
ASV1094,ASV293,1
ASV119,ASV23,0.601035483
ASV1081,ASV1462,1
ASV1081,ASV1460,1
ASV506,ASV414,0.998128533
ASV117,ASV1037,0.1679211
ASV1809,ASV1919,1
ASV1462,ASV773,1
ASV100,ASV947,3.296501917
ASV27,ASV294,4.976406155
ASV1806,ASV1882,0.061372305
ASV420,ASV1130,0.580557686
ASV87,ASV560,0.483743834
ASV773,ASV947,1
ASV773,ASV1278,0.068733935
ASV444,ASV1278,0.649110329
ASV1108,5ab75def4e6aa82a790cbc92161365b1,3.365444435
ASV1082,ASV1299,0.022512402
da95059d70300111c7e409ff878cd4b2,ASV178,1
ASV27,ASV1278,4.976406155
ASV308,ASV243,4.471259458
ASV159,ASV1919,2.412837601
3ee42b2263827ef0cb35c3a525005617,ASV45,0.592261424
e29f676da177554e5013d56793669bfd,ASV1428,0.001073783
ASV1253,ASV33,0.58929936
ASV526,ASV1919,0.259625881
ASV9,ASV293,4.734041008
ASV506,ASV1057,0.72547625
ASV100,ASV74,0.496946931
4e4ae9e7f5bb4a69d13620a178d74c04,ASV231,0.607988327
ASV159,ASV414,0.607988327
ASV420,ASV1125,3.132620816
ASV1319,ASV30,1
ASV199,ASV45,0.471754708
ASV100,ASV1096,0.732724923
ASV31,ASV273,2.270562786
ASV1806,ASV58,4.259304768
ASV1094,ASV275,0.540654874
ASV294,349a635ea622db56824934499ab10052,1
ASV242,ASV1125,0.578870898
ASV308,ASV231,0.584684178
4e4ae9e7f5bb4a69d13620a178d74c04,878a35347f3e227d5ca7683772399708,0.607988327
ASV106,ASV773,0.689710215
ASV293,ASV58,4.928189627
ASV1460,ASV1299,0.022512402
ASV526,ASV506,0.05762893
ASV1249,ASV30,1
ASV293,ASV55,4.171766098
ASV100,ASV1882,0.683422573
ASV117,ASV344,0.811652405
399fdcf9abac0d03b00f63e93edfd481,784833580054b0b8670ff0d1642746ee,0.299893506
ASV117,ASV1809,1
ASV774,ASV1096,1
cd6b7936ba4c5252ce3773d276e695ac,fa19522f4a04124c8aeb8b8247645879,0.091157644
ASV1082,ASV1278,1
ASV1579,ASV1056,0.198049386
ASV867,ASV916,1
ASV1518,ASV414,1
ASV119,ASV1919,2.865330231
ASV393,ASV1919,0.979913232
ASV88,ASV1277,0.828695592
ASV1081,ASV787,1
ASV506,ASV1037,0.1679211
ASV1319,ASV159,0.861474682
ASV785,ASV947,1
835f49fc13f0f9a859af009937925151,ASV1520,2.731556468
cd6b7936ba4c5252ce3773d276e695ac,ASV859,0.066100141
ASV1732,ASV159,0.439389245
da95059d70300111c7e409ff878cd4b2,cd6b7936ba4c5252ce3773d276e695ac,0.002893982
ASV774,ASV1082,1
ASV774,ASV1081,1
ASV1278,ASV947,0.022512402
ASV98,ASV100,0.767746524
0ed2e810f88dd9a532e34fef3097f56a,ASV199,0.760414317
ASV1806,ASV9,5.15909761
ASV785,ASV1096,1
ASV308,ASV571,0.122267608
ASV444,878a35347f3e227d5ca7683772399708,0.72547625
ASV74,ASV1806,3.976796911
835f49fc13f0f9a859af009937925151,ASV1519,0.364454443
ASV100,ASV44,3.513675555
ASV1081,ASV773,0.00165929
ASV294,ASV1299,1
ASV1319,ASV1919,1
ASV1460,ASV1278,1
ASV785,ASV44,1
ASV199,ASV12,4.678388914
ASV1462,ASV294,0.022512402
ASV119,ASV1462,5.013335685
ASV106,ASV1334,0.500957488
ASV119,ASV1460,4.500021492
6598ffab6ef90f90ee7a86a9a16f5b82,ASV1253,4.946990134
ASV1462,349a635ea622db56824934499ab10052,1
ASV785,ASV133,4.227672754
ASV8,ASV1277,0.71757781
da95059d70300111c7e409ff878cd4b2,fa19522f4a04124c8aeb8b8247645879,0.607988327
ASV323,ASV926,2.764208701
ASV785,ASV1082,1
ASV243,ASV860,0.065519184
ASV785,ASV1081,1
399fdcf9abac0d03b00f63e93edfd481,fa19522f4a04124c8aeb8b8247645879,0.927252492
ASV995,ASV393,0.979913232
ASV577,ASV926,0.649110329
ASV1249,ASV995,1
ASV506,ASV288,0.378426051
ASV576,ASV393,1.812137807
ASV104,ASV1570,0.981765295
ASV109,ASV87,0.550159836
ASV1614,ASV9,4.90227368
ASV275,ASV1130,3.319424805
ASV1579,ASV1028,1
ASV298,ASV243,0.843861454
ASV506,ASV1809,0.05762893
ASV323,ASV481,0.607988327
ASV119,ASV576,0.860467575
b0c765a76a3bd24405f68a14ece65115,ASV794,0.55202293
784833580054b0b8670ff0d1642746ee,ASV859,1
5ab75def4e6aa82a790cbc92161365b1,f5e86a9841f8fb6613b42e1df9d229fa,0.72547625
ASV119,ASV570,0.860467575
ASV526,ASV393,0.977574163
ASV1108,ASV926,1
ASV104,ASV98,4.410633572
ASV133,ASV1096,3.978343842
ASV448,ASV957,1
ASV308,cd6b7936ba4c5252ce3773d276e695ac,0.564224872
ASV109,ASV293,3.603910778
ASV785,ASV23,4.88024313
ASV106,ASV294,0.72547625
ASV8,f5e86a9841f8fb6613b42e1df9d229fa,0.682212367
ASV159,ASV288,0.861474682
835f49fc13f0f9a859af009937925151,ASV916,0.72547625
ASV1108,ASV481,0.020051652
ASV1207,ASV560,1
1ded7b3ea35d5ee270110b832d3dc84c,ASV1215,0.193575655
ASV1096,ASV773,1
1ded7b3ea35d5ee270110b832d3dc84c,ASV275,0.488739517
ASV444,ASV859,0.926845102
ASV774,349a635ea622db56824934499ab10052,1
1ded7b3ea35d5ee270110b832d3dc84c,ASV1570,1
ASV414,ASV1919,1
ASV1215,ASV1570,0.971771692
ASV104,ASV88,5.111023168
ASV1217,ASV831,1
ASV1319,ASV117,1
